Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,South Asia,Lower middle income,,-0.724671518802643,-1.12678829431534,-0.631902396678925,76583036.2,78761140.5,155344176.7,8.59185,26.9666666666667,218.018249193759,3695.13310667138,0.467196573098501,58.2926041666666,0.36286314788715,0.124433285232358
KHM,Cambodia,Cambodia,Kingdom of Cambodia,East Asia & Pacific,Lower middle income,,-0.63989964723587,0.0788987353444099,-1.16087210178375,7887744.9,7509095.8,15396840.7,4.954924,47.65,391.208890959468,3491.2513908428,0.491758246978124,56.67875,0.419346939519584,0.14206619251046
ZMB,Zambia,Zambia,Republic of Zambia,Sub-Saharan Africa,Lower middle income,HIPC,-0.615543103218079,0.086459082365036,-0.261032378673553,7920827.8,7752168.5,15672996.3,12.859762,46,624.779193783261,3390.42589471794,0.394701034545898,57.9286458333333,0.499631856701832,0.0851564197909962
CMR,Cameroon,Cameroon,Republic of Cameroon,Sub-Saharan Africa,Lower middle income,HIPC,-0.793984115123749,-1.21930885314941,-1.06888822317123,11527175.3,11510386.7,23037562,11.33366,36.7666666666667,330.144607324725,3380.27002306927,0.391126284062862,55.2279166666667,0.312108189380324,0.0772825395461866
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,East Asia & Pacific,Lower middle income,,-0.720566976070404,0.710561215877533,0.63024411201477,131853.2,135788.6,267641.8,5.098948,,,3133.7431050964,0.456802978833517,39.63,0.617118540238221,0.113508354228312
SEN,Senegal,Senegal,Republic of Senegal,Sub-Saharan Africa,Lower middle income,HIPC,-0.304610288888216,-0.084221126139164,0.294694897532463,7402415,7018904.1,14421319.1,7.815568,51.9,292.46027656236,2980.04246774155,0.412235256850719,59.133125,0.559861096102517,0.0877553607368281
BEN,Benin,Benin,Republic of Benin,Sub-Saharan Africa,Lower middle income,HIPC,-0.567733883857727,-0.0930365206673741,0.289455230534077,5249209.5,5209809.4,10459018.9,9.135146,28,403.324556233245,2942.51982359571,0.392206463158131,48.2516666666667,0.536942643786574,0.077113376162492
HTI,Haiti,Haiti,Republic of Haiti,Latin America & Caribbean,Low income,HIPC,-2.01779544353485,-0.699484026432037,-0.751665771007538,5376825.4,5238613,10615438.4,5.46957,16.65,391.126527010422,2901.67735549655,0.445784297307333,39.2376041666667,0.279248046405358,0.11024840425984
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,Sub-Saharan Africa,Lower middle income,,-1.18182785511017,-0.716071140766144,-1.16059210300446,7168999.2,6512046.5,13681045.7,9.675796,38.5666666666667,802.39769925852,2854.1692414009,0.444875050425529,53.5357291666666,0.311808503774784,0.117228048171243
NPL,Nepal,Nepal,Nepal,South Asia,Lower middle income,,-0.942902600765228,-0.719528979063034,-0.232096633315086,14568304.2,12778616.8,27346921,7.114814,14.65,398.968835707414,2842.64611134362,0.497598058780034,52.9554166666667,0.411450843165035,0.142564892462909
